Data;28763 - Estoque de empregos formais - Total - Unidades;28764 - Estoque de empregos formais - Agropecuária - Unidades;28765 - Estoque de empregos formais - Indústrias extrativas - Unidades;28766 - Estoque de empregos formais - Indústrias de transformação - Unidades;28767 - Estoque de empregos formais - SIUP - Unidades;28768 - Estoque de empregos formais - Eletricidade e gás - Unidades;28769 - Estoque de empregos formais - Água, esgoto, atividades de gestão de resíduos e descontaminação - Unidades;28770 - Estoque de empregos formais - Construção - Unidades;28771 - Estoque de empregos formais - Comércio - Unidades;28772 - Estoque de empregos formais - Serviços - Unidades;28773 - Estoque de empregos formais - Transporte, armazenamento e correio - Unidades;28774 - Estoque de empregos formais - Alojamento e alimentação - Unidades;28775 - Estoque de empregos formais - Informação e comunicação - Unidades;28776 - Estoque de empregos formais - Atividades financeiras e seguros - Unidades
01/2007;27281523;1322085;162334;6273048;381443;109791;271652;1302292;5567282;12276380;1691129;1281840;570655;604605
02/2007;27457258;1347162;163624;6303429;383017;110380;272637;1310893;5586456;12365579;1699573;1284707;574057;606426
03/2007;27629015;1361809;164746;6344190;384186;110728;273458;1332125;5606638;12437114;1709490;1284764;575371;607693
04/2007;27969341;1409874;166780;6451295;386335;110974;275361;1367676;5653010;12534747;1728749;1293113;579736;610006
05/2007;28214135;1498456;168528;6510471;386811;111162;275649;1385305;5677064;12587412;1739511;1295294;582679;611334
06/2007;28423477;1571210;170150;6540263;388588;111369;277219;1406642;5713306;12632547;1748511;1303081;583321;612387
07/2007;28579339;1583893;171609;6569605;389724;111254;278470;1429494;5748707;12685406;1757752;1308878;585030;615309
08/2007;28743861;1555466;172538;6610360;390373;111489;278884;1460250;5794924;12758043;1763471;1316777;588064;620247
09/2007;29035945;1540028;173484;6733024;391192;111733;279459;1494824;5855250;12845434;1771698;1326886;592987;626267
10/2007;29268777;1529777;174525;6796241;392003;111917;280086;1520932;5928783;12923603;1781945;1336801;595530;631281
11/2007;29412594;1484438;174717;6792490;392565;112085;280480;1532494;6038641;12994637;1789528;1350198;591678;635792
12/2007;29083898;1352277;175326;6646618;392568;111794;280774;1507868;6072859;12936383;1783740;1360242;590586;639877
01/2008;29260770;1359782;176504;6710597;394626;111576;283050;1554116;6067655;12997491;1789895;1367494;595452;643398
02/2008;29495058;1379978;177348;6763683;396033;111749;284284;1586872;6088207;13102938;1797389;1367737;599706;646130
03/2008;29722183;1389700;178910;6807091;397988;111839;286149;1625758;6114325;13208412;1811952;1369352;606888;650199
04/2008;30048054;1429433;181252;6890500;400614;112205;288409;1664394;6157158;13324704;1834022;1375202;609733;653564
05/2008;30276238;1479977;183540;6926682;401476;112629;288847;1697985;6194781;13391798;1843713;1377685;614948;657033
06/2008;30621206;1582662;185626;6977459;402995;112490;290505;1743075;6252191;13477199;1859965;1387463;620236;661904
